0;0.0278;0.03085;0.0468;0.0369;0.0373;0.0307
5;0.356;0.346;0.3595;0.3328;0.3425;0.336
10;0.732;0.7585;0.7495;0.7825;0.6685;0.7775
20;1.393;1.5635;1.554;1.4605;1.421;1.442
50;3.352;3.3975;3.316;4.042;3.234;3.5665
